time,open,high,low,close
2016-01-01T01:00:00+01:00,429.17,432.15,428.17,430.38
2016-01-01T05:00:00+01:00,431.51,436.49,429.77,433.18
2016-01-01T09:00:00+01:00,433.18,433.82,429.79,433.01
2016-01-01T13:00:00+01:00,433.24,434.9,426.26,432.25
2016-01-01T17:00:00+01:00,432.47,434.28,432.01,432.93
2016-01-01T21:00:00+01:00,432.93,434.89,432.9,433.98
2016-01-02T01:00:00+01:00,433.89,435.8,430.3,432.99
2016-01-02T05:00:00+01:00,432.79,434.31,431.01,431.43
2016-01-02T09:00:00+01:00,431.22,434.59,431.01,431.01
2016-01-02T13:00:00+01:00,431.01,432.07,430,431.34
2016-01-02T17:00:00+01:00,432.08,435.65,431.8,432.63
2016-01-02T21:00:00+01:00,432.5,434.56,431.7,432.7
2016-01-03T01:00:00+01:00,432.66,433.07,427.32,430.57
2016-01-03T05:00:00+01:00,430.62,432.11,428.46,429.99
2016-01-03T09:00:00+01:00,429.88,430.25,428.9,429.11
2016-01-03T13:00:00+01:00,429.45,429.99,421.96,426.98
2016-01-03T17:00:00+01:00,426.99,427.5,421.73,423.2
2016-01-03T21:00:00+01:00,423.2,429.6,422,428.39
2016-01-04T01:00:00+01:00,428.63,431.15,426.97,430.72
2016-01-04T05:00:00+01:00,430.77,431.5,428.02,431.38
2016-01-04T09:00:00+01:00,431.5,432.5,429.74,431.37
2016-01-04T13:00:00+01:00,431.44,434.3,430.19,432.76
2016-01-04T17:00:00+01:00,432.67,434.45,431.51,432.48
2016-01-04T21:00:00+01:00,432.49,435.67,430.59,432.9
2016-01-05T01:00:00+01:00,432.61,434.91,431.87,433.54
2016-01-05T05:00:00+01:00,433.57,434.34,431.42,431.8
2016-01-05T09:00:00+01:00,431.8,432.87,428.34,429.8
2016-01-05T13:00:00+01:00,429.6,433.2,427.91,432.99
2016-01-05T17:00:00+01:00,432.99,433.17,430.76,432
2016-01-05T21:00:00+01:00,432,432.41,430.5,431.84
2016-01-06T01:00:00+01:00,431.99,432.24,425.03,426.68
2016-01-06T05:00:00+01:00,426.28,430,425.69,428.74
2016-01-06T09:00:00+01:00,428.65,430.15,427.58,429.88
2016-01-06T13:00:00+01:00,429.89,430.25,428.95,429.87
2016-01-06T17:00:00+01:00,430,430.4,429.01,429.26
2016-01-06T21:00:00+01:00,429.6,431.18,427.03,428.89
2016-01-07T01:00:00+01:00,428.2,446.18,427.11,441.74
2016-01-07T05:00:00+01:00,442,454.9,439.6,451.98
2016-01-07T09:00:00+01:00,452.34,452.34,445.5,450.33
2016-01-07T13:00:00+01:00,450.39,455.97,450.31,454.58
2016-01-07T17:00:00+01:00,454.58,459,453,456
2016-01-07T21:00:00+01:00,455.93,462,455.1,458.78
2016-01-08T01:00:00+01:00,458.41,465,452.5,457.8
2016-01-08T05:00:00+01:00,457.82,458.05,452.55,454.1
2016-01-08T09:00:00+01:00,453.55,458.2,451,454.95
2016-01-08T13:00:00+01:00,454.95,457.22,453.33,456.22
2016-01-08T17:00:00+01:00,455.49,456.5,446.55,451.48
2016-01-08T21:00:00+01:00,451.7,455.86,451.43,454
2016-01-09T01:00:00+01:00,454,456.01,452,452.51
2016-01-09T05:00:00+01:00,452.51,452.74,447.07,450.6
2016-01-09T09:00:00+01:00,450.6,452.19,448.8,450.5
2016-01-09T13:00:00+01:00,450.3,450.81,447.52,450.01
2016-01-09T17:00:00+01:00,450,452.87,450,452.47
2016-01-09T21:00:00+01:00,452.47,452.5,448.8,449.23
2016-01-10T01:00:00+01:00,449.23,450.26,444.2,445.11
2016-01-10T05:00:00+01:00,445.13,447.52,445.13,445.87
2016-01-10T09:00:00+01:00,445.86,446.11,441.7,442.03
2016-01-10T13:00:00+01:00,442.06,444.84,441.01,443.28
2016-01-10T17:00:00+01:00,443.26,447.91,443.02,446.27
2016-01-10T21:00:00+01:00,446.27,449.4,445,449.35
2016-01-11T01:00:00+01:00,449.34,452.49,448.31,450.69
2016-01-11T05:00:00+01:00,450.69,450.69,443.42,445.5
2016-01-11T09:00:00+01:00,445.32,446.46,444.72,445.51
2016-01-11T13:00:00+01:00,445.51,448.49,445.5,447.67
2016-01-11T17:00:00+01:00,447.68,450.44,447.07,448.11
2016-01-11T21:00:00+01:00,448,450.05,447.56,449.26
2016-01-12T01:00:00+01:00,449.26,449.73,444.97,447.71
2016-01-12T05:00:00+01:00,447.71,449.98,447,447.81
2016-01-12T09:00:00+01:00,447.81,448.34,444.8,446.36
2016-01-12T13:00:00+01:00,446.43,447.79,444.31,446.22
2016-01-12T17:00:00+01:00,446.27,448,446.23,447.5
2016-01-12T21:00:00+01:00,447.19,448.1,427.01,432.04
2016-01-13T01:00:00+01:00,431.99,436.36,416,430.38
2016-01-13T05:00:00+01:00,430.38,431,427,430.69
2016-01-13T09:00:00+01:00,430.88,431,426,426.09
2016-01-13T13:00:00+01:00,426.1,428.99,422,428.33
2016-01-13T17:00:00+01:00,428.33,428.95,426.1,427.57
2016-01-13T21:00:00+01:00,427.59,432.66,426.21,431.11
2016-01-14T01:00:00+01:00,431.09,435,429.02,431.57
2016-01-14T05:00:00+01:00,431.55,431.65,426.4,430.43
2016-01-14T09:00:00+01:00,430.39,431.15,426,428.96
2016-01-14T13:00:00+01:00,428.94,432,428.7,430.64
2016-01-14T17:00:00+01:00,430.79,432.57,430.11,431.64
2016-01-14T21:00:00+01:00,431.62,432.35,428.51,429.25
2016-01-15T01:00:00+01:00,429.27,429.43,410.8,415
2016-01-15T05:00:00+01:00,415,417.9,407.02,409.21
2016-01-15T09:00:00+01:00,409.47,412.5,403.22,403.22
2016-01-15T13:00:00+01:00,403.18,406.88,385.03,393.12
2016-01-15T17:00:00+01:00,393.12,397.88,389.88,394.75
2016-01-15T21:00:00+01:00,394.74,396.69,357.02,359.16
2016-01-16T01:00:00+01:00,359.16,382.84,358.53,374
2016-01-16T05:00:00+01:00,374,376.69,359,359
2016-01-16T09:00:00+01:00,359,375.99,352.5,371.48
2016-01-16T13:00:00+01:00,371.39,376.28,367.4,370.7
