time,open,high,low,close
2015-10-05,239.47,249.01,236.24,247.99
2015-10-12,247.92,275.19,244,265.01
2015-10-19,265.29,295.99,262.35,284.79
2015-10-26,284.7,336,282.25,330.23
2015-11-02,330.23,504,326.8,374.1
2015-11-09,374.52,388.99,300.28,320.52
2015-11-16,320.8,342.5,309.46,324.66
2015-11-23,324.66,376,315.55,373.89
2015-11-30,373.84,407.57,346.13,390.6
2015-12-07,390.88,475.04,384.53,433.36
2015-12-14,432.91,469.99,427.3,442.62
2015-12-21,442.62,460.05,405.5,422.32
2015-12-28,421.82,436.49,412.5,428.39
2016-01-04,428.63,465,425.03,449.35
2016-01-11,449.34,452.49,352.5,382.02
2016-01-18,382.11,428,371.25,402.77
2016-01-25,402.76,402.77,360.03,365.52
2016-02-01,365.58,393.89,363.23,372.01
2016-02-08,372.26,408.66,369.01,408.3
2016-02-15,408.3,451.6,395.23,440.49
2016-02-22,440.49,442.67,409.69,434.45
2016-02-29,434.46,445,389,403.75
2016-03-07,403.77,423.6,401.51,411.87
2016-03-14,412,420.6,403.01,411.25
2016-03-21,410.81,431,406,427.36
2016-03-28,427.34,427.99,406.51,420.6
2016-04-04,420.99,425,412,421.32
2016-04-11,421.32,435.67,418.8,428.51
2016-04-18,428.51,464.99,426.52,463.02
2016-04-25,463.33,471.99,435,451.11
2016-05-02,451.12,466,436,459.87
2016-05-09,459.88,465.4,445.01,457.89
2016-05-16,457.95,458.95,433,437.48
2016-05-23,437.4,570,436.51,531
2016-05-30,529.97,593.89,518,574.02
2016-06-06,574.01,685,561.3,672
2016-06-13,671.98,789.78,656.51,767.3
2016-06-20,767.31,767.77,555.56,639.4175
2016-06-27,632.51,703.4225,624.51,659.085
2016-07-04,659.2375,682.3525,609.98,650.315
2016-07-11,650.9325,683.8875,644.86625,680.4525
2016-07-18,680.1025,683.38725,645.46375,662.4515
2016-07-25,662.0225,663.0125,620.50275,624.22
2016-08-01,624.22,626.364,474.82,594.2525
2016-08-08,594.2525,600.7475,562.6225,571.5025
2016-08-15,571.4975,583.4925,559.9825,580.055
2016-08-22,580.0675,587.09575,566.92275,574.41075
2016-08-29,574.41075,613.215,568.70875,608.2625
2016-09-05,608.7675,630.5175,593.4955,607.069
2016-09-12,606.7325,611.605,604.45325,610.09475
2016-09-19,610.09475,611.3175,592.633,600.1595
2016-09-26,600.152,615.59,599.3525,610.80925
2016-10-03,610.81425,619.4125,608.48325,615.745
2016-10-10,615.74725,642.74,614.87125,640.9375
2016-10-17,640.9825,660.29875,625.33525,651.99325
2016-10-24,651.99575,720.315,646.79,698.44925
2016-10-31,698.44425,745.8795,674.74925,713.39925
2016-11-07,713.40175,742.01475,685.29775,702.0125
2016-11-14,702.0125,755.0925,697.33525,729.02925
2016-11-21,728.96175,750.1375,725.505,728.71
2016-11-28,728.69875,779.189,728.38,766.17
2016-12-05,766.1575,776.0725,745.93075,770.61025
2016-12-12,770.61025,791.35,769.03025,790.95525
2016-12-19,790.51225,919.87,788.8,895.14225
2016-12-26,895.09475,1003.07925,893.2565,996.34775
2017-01-02,997.19425,1152.19975,817.1625,915.99975
2017-01-09,915.68975,921.90675,750.82475,827.50975
2017-01-16,827.5295,940.0945,823.73325,926.2425
2017-01-23,925.7975,928.315,882.9965,914.968
2017-01-30,915.2525,1042.68025,913.4325,1014.2965
2017-02-06,1014.03,1078.15775,940.79025,1004.87925
2017-02-13,1004.88075,1069.40925,983.6975,1055.5025
2017-02-20,1055.497,1214.95425,1047.73025,1178.2475
2017-02-27,1178.6,1292.4275,1163.49,1273.4885
2017-03-06,1272.646,1330.9675,977.5025,1229.79975
2017-03-13,1229.67225,1261.7895,938.925,1016.50675
2017-03-20,1012.5125,1116.235,889.28775,965.52375
2017-03-27,964.745,1112.1785,956.555,1101.72725
2017-04-03,1101.1815,1218.287,1101.15775,1209.5625
2017-04-10,1209.211,1231.6425,883.6215,1174.827
2017-04-17,1174.736,1255.10725,1171.85775,1246.07
2017-04-24,1246.0525,1365.00775,1241.2935,1362.02675
2017-05-01,1361.5115,1638.1375,1355.475,1567.7285
2017-05-08,1568.2035,1887.49725,1566.1525,1791.51
2017-05-15,1791.0825,2088.00425,1692.27,2027.914
2017-05-22,2026.94175,2754.82825,1878.5375,2194.89325
2017-05-29,2192.41325,2590.23725,2113.45775,2523.05775
2017-06-05,2523.44,2962.436,2520.065,2959.51975
2017-06-12,2959.5215,2973.53,2078.68475,2512.4655
2017-06-19,2513.206,2777.147,2425.7625,2498.21975
2017-06-26,2498.899,2598.0425,2270.84125,2508.61025
2017-07-03,2507.23275,2636.4125,2467.5575,2502.82275
2017-07-10,2503.035,2521.595,1799.3185,1910.16225
2017-07-17,1909.64,2944.9775,1909.6175,2756.4875
2017-07-24,2758.61,2829.16475,2406.7875,2753.8375
2017-07-31,2754.68475,3338.805,2642.4075,3224.683
2017-08-07,3223.681,4190.486,3188.01325,4061.17
2017-08-14,4061.17,4475.5,3815.2525,4059.4735
2017-08-21,4058.90275,4453.25,3605.49,4339.2825
2017-08-28,4338.187,4976.225,4192.61725,4621.195
2017-09-04,4620.55,4683.4925,4094.0275,4252.04
2017-09-11,4252.0875,4380.3825,2979.29,3704.605
2017-09-18,3704.5475,4119.175,3517.7075,3668.48
2017-09-25,3668.5025,4387.42,3666.3475,4386.1175
2017-10-02,4385.195,4611.135,4148.32,4598.9925
2017-10-09,4599.5925,5849.17,4552.9325,5687.0025
2017-10-16,5686.3575,6180.65,5111.495,5986.655
2017-10-23,5983.725,6277.7175,5383.095,6135.035
2017-10-30,6135.395,7595.945,6029.0825,7384.79
2017-11-06,7383.5975,7859.41,5504.3575,5871.5225
2017-11-13,5861.4375,8069.8825,5824,8023.845
2017-11-20,8023.8475,9454.8775,7811.635,9288.17
2017-11-27,9290.1525,11827.7475,9093.32,11251.5775
2017-12-04,11253.3025,17237.6425,10927.5,15037.4975
2017-12-11,15037.47,19785.225,14987.5725,19128.2725
2017-12-18,19128.3225,19286.4725,10853.8575,14059.955
2017-12-25,14047.4525,16490.855,12297.5,13888.3225
2018-01-01,13888.35,17203.9625,12901.595,16144.1975
2018-01-08,16154.5375,16238.135,12863.84,13660.4225
2018-01-15,13660.3975,14340.385,9144.25,11541.66
2018-01-22,11533.6325,11892.7475,9968.15,11621.1475
2018-01-29,11618.87,11696.7,7593.5625,8163.0125
2018-02-05,8164.595,9076.25,5894.085,8067.4975
2018-02-12,8072.7625,11292.8625,8067.6425,10408.5275
2018-02-19,10413.595,11767.5225,9305.925,9590.7575
2018-02-26,9592.1075,11509.25,9393.7775,11478.115
2018-03-05,11479.9675,11660.37,8376.5025,9531.515
2018-03-12,9534.0825,9894.15,7318.255,8190.1825
2018-03-19,8194.5075,9182.975,8104.895,8452.085
2018-03-26,8453.6575,8496.2725,6442.4125,6812.6375
2018-04-02,6815.535,7514.135,6511.87,7021.1225
2018-04-09,7023.35,8407.9975,6612.7225,8357.55
2018-04-16,8360.46,9042.33,7812.28,8799.1925
2018-04-23,8793,9757.9425,8643.385,9396.8725
2018-04-30,9396.505,9947.075,8827.3225,9607.08
2018-05-07,9606.715,9623.775,8221.0175,8691.595
2018-05-14,8693.46,8890.145,7927.11,8517.3525
2018-05-21,8518.55,8588.5225,7217.2675,7342.2625
2018-05-28,7342.575,7784.65,7047.96,7709.2075
2018-06-04,7711.3325,7755.2775,6638.8,6772.345
2018-06-11,6772.42,6910.8125,6125.01,6446.43
2018-06-18,6446.3575,6839.0425,5750.555,6150.87
2018-06-25,6149.015,6521.69,5784.4,6347.705
2018-07-02,6346.33,6837.225,6271.56,6703.5375
2018-07-09,6702.955,6807.3775,6073.8275,6345.355
2018-07-16,6349.0475,7682.6725,6331.7325,7398.9675
2018-07-23,7397.8875,8481.5825,7375.7875,8215.66
2018-07-30,8215.5575,8279.9475,6886.575,7030.395
2018-08-06,7030.89,7166.2075,5997.0575,6314.31
2018-08-13,6313.2675,6630.7425,5889,6484.53
2018-08-20,6485.1425,6903.49,6226.955,6706.6875
2018-08-27,6706.605,7331.2375,6652.0175,7291.145
2018-09-03,7291.5,7404.1925,6191.53,6289.405
2018-09-10,6290.62,6552.6175,6239.2225,6487.8875
2018-09-17,6488.6625,6735.3375,6192.3125,6638.72
2018-09-24,6639.0575,6707.7125,6357.295,6565.645
2018-10-01,6565.565,6596.69,6412.2675,6572.825
2018-10-08,6572.1375,6665.34,6056.6275,6182.4575
2018-10-15,6182.325,6782.975,6152.2675,6412.975
2018-10-22,6413.2125,6467.895,6355.14,6405.5225
2018-10-29,6405.1675,6464.3425,6202.1975,6422.5075
2018-11-05,6424.1275,6542.8675,6273.7475,6358.58
2018-11-12,6357.94,6383.8625,5198.475,5560.145
2018-11-19,5558.6075,5560.8775,3465.385,3935.5125
2018-11-26,3934.365,4418.2775,3516.245,4102.0975
2018-12-03,4101.76,4117.88,3210.21,3532.5225
2018-12-10,3532.365,3591.6675,3125.8975,3192.87
2018-12-17,3192.275,4175.0175,3183.1525,3944.385
2018-12-24,3946.755,4237.6875,3567.6325,3831.0375
2018-12-31,3831.2325,4082.9275,3624.6325,4040.9525
2019-01-07,4040.925,4113.205,3470.895,3514.2175
2019-01-14,3515.0625,3798.895,3475.0275,3534.25
2019-01-21,3535.4675,3659.7325,3422.5425,3531.82
2019-01-28,3531.8075,3535.91,3336.54,3415.1975
2019-02-04,3415.5825,3709.54,3334.485,3648.38
2019-02-11,3649.3475,3670.9675,3533.8025,3625.62
2019-02-18,3625.77,4188.695,3617.595,3732.395
2019-02-25,3733.3925,3901.195,3654.1475,3787.94
2019-03-04,3787.995,3946.9775,3672.4975,3898.95312045
2019-03-11,3899.2425,4038.235,3780.7325,3965.74
2019-03-18,3965.7975,4058.8625,3907.6975,3970.085
2019-03-25,3969.7925,4130.34,3857.9075,4095.32
2019-04-01,4094.2825,5348.0025,4052.07,5193.965
2019-04-08,5194.5225,5469.535,4909.4075,5161.725
2019-04-15,5161.635,5359.9925,4946.7275,5296.6375
2019-04-22,5296.14,5631.78,4962.2325,5157.275
2019-04-29,5155.3,5841.4175,5071.9525,5714.345
2019-05-06,5716.1625,7582.64,5565.4425,6976.065
2019-05-13,6970.955,8382.2375,6511.1025,8196.835
2019-05-20,8195.7525,8788.4025,7469.7625,8737.8225
2019-05-27,8737.1525,9093.925,7992.4,8739.8225
2019-06-03,8737.2425,8744.4075,7433.43,7638.2825
2019-06-10,7636.7475,9387.9875,7522.6825,8978.795
2019-06-17,8975.545,11254.715,8935.1825,10830.4725
2019-06-24,10826.6,13859.7025,10299.75,10754.915
2019-07-01,10756.975,12059.925,9653.4575,11475.0375
2019-07-08,11478.405,13195.385,10222.625,10299.7
2019-07-15,10296.3475,11118.56,9077.2325,10594.06
2019-07-22,10595.26,10687.335,9112.6225,9530.3275
2019-07-29,9532.8375,11084.9425,9370.955,10977.9675
2019-08-05,10980.5325,12326.6025,10979.3825,11530.865
2019-08-12,11536.2775,11552.0775,9476.2725,10319.71
2019-08-19,10319.355,10953.665,9756.5875,10136.39
2019-08-26,10143.4875,10671.6025,9318.6325,9768.0175
2019-09-02,9768.075,10950.9725,9756.425,10403.6725
2019-09-09,10396.9375,10537.5575,9865.0025,10309.045
2019-09-16,10309.98,10378.5325,9604.5875,10026.9475
2019-09-23,10027.4225,10047.12,7726.9625,8052.3225
2019-09-30,8056.045,8534.375,7705.3,7859.23
2019-10-07,7862.8675,8847.7775,7767.4025,8280.48
2019-10-14,8279.3375,8417.52,7815.45,8234.765
2019-10-21,8235.9125,10515.9225,7291.8075,9549.05
2019-10-28,9550.9825,9937.995,8956.3075,9205.705
2019-11-04,9206.825,9596.625,8666.565,9033.985
2019-11-11,9035.32,9067.91,8366.9325,8500.63
2019-11-18,8500.9325,8503.1525,6779.4375,6908.4475
2019-11-25,6906.5825,7867.225,6526.6175,7403.8775
2019-12-02,7407.6975,7792.265,7082.7175,7523.3275
2019-12-09,7520.8875,7659.715,7008.8775,7114.98
2019-12-16,7114.755,7522.975,6432.1325,7511.47
2019-12-23,7517.5525,7690.23,7025.655,7387.9625
2019-12-30,7382.7925,7491.835,6857.05,7352.6925
2020-01-06,7351.62,8464.4025,7344.7775,8178.0025
2020-01-13,8180.7775,9182.9275,8040.215,8700.1475
2020-01-20,8700.5775,8791.005,8219.2875,8590.48
2020-01-27,8596.5925,9567.7575,8557.0475,9324.0225
2020-02-03,9320.7925,10176.2575,9077.9875,10167.7075
2020-02-10,10166.69,10510.0525,9617.6525,9922.8975
2020-02-17,9921.6375,10305.11,9307.4275,9968.39
2020-02-24,9970.12,10026.2475,8406.2525,8527.415
2020-03-02,8521.375,9217.95,8000.86,8036.475
2020-03-09,8037.4375,8186.585,3883.7525,5343.135
2020-03-16,5346.805,6953.765,4427.6875,5824.085
2020-03-23,5817.7525,6983.76,5691.84,5876.4525
2020-03-30,5878.2075,7265.46,5854.3525,6777.015
2020-04-06,6777.865,7469.58,6751.2875,6906.54
2020-04-13,6906.2925,7304.32,6469.8825,7130.2775
2020-04-20,7128.9325,7774.8625,6755.955,7703.1325
2020-04-27,7706.215,9478.3525,7636.03,8908.385
2020-05-04,8913.4975,10078.295,8086.295,8726.06
2020-05-11,8730.695,9946.5675,8189,9670.7075
2020-05-18,9681.9,9956.7475,8673.675,8716.09
2020-05-25,8712.855,9752.0975,8636.7325,9448.95
2020-06-01,9446.96,10413.065,9273.88,9752.5925
2020-06-08,9756.0075,10010.1675,9065.3425,9329.6975
2020-06-15,9330.565,9591.59,8900.6275,9285.9675
2020-06-22,9287.1825,9789.2375,8820.86,9116.235
2020-06-29,9116.4575,9298.875,8909.995,9078.89
2020-07-06,9078.75,9476.5325,9063.5525,9302.385
2020-07-13,9303.9125,9351.015,9022.425,9213.99
2020-07-20,9215.165,10179.4275,9135.1375,9942.845
2020-07-27,9941.6225,12121.61,9937.0775,11066.14
2020-08-03,11071.575,11920.0825,10895.7775,11687.8175
2020-08-10,11688.64,12087.03,11128.8775,11918.0375
2020-08-17,11920.0225,12478.8375,11368.5,11650.9875
2020-08-24,11653.5025,11825.82,11113.87,11713.08
2020-08-31,11714.0825,12067.3025,9849.325,10258.09
2020-09-07,10258.355,10579.535,9836.43,10335.125
2020-09-14,10336.025,11180.7775,10252.8975,10921.11
2020-09-21,10920.915,10992.5425,10137.0775,10777.975
2020-09-28,10779.07,10952.065,10379.44,10673.18
2020-10-05,10671.41,11496.96,10527.8125,11375.2725
2020-10-12,11375.1175,11730.81,11192.65,11513.1325
2020-10-19,11513.85,13358.06,11416.7925,13042.115
2020-10-26,13042.86,14095.095,12785.0975,13768.1925
2020-11-02,13768.7125,15971.91,13219.33,15484.175
2020-11-09,15483.03,16490.5875,14821.125,15969.7475
2020-11-16,15970.3225,18978.125,15880.955,18442.9925
2020-11-23,18440.27,19499.825,16210.5675,18197.3175
2020-11-30,18201.185,19919.2775,18106.75,19382.2675
2020-12-07,19379.3375,19432.1425,17575.405,19164.8025
2020-12-14,19160.14,24298.685,18995.4025,23478.995
2020-12-21,23477.04,28377.5525,21894.5975,26259.1225
2020-12-28,26244.505,34789.0725,25840.645,33096.3175
2021-01-04,33087.9125,41993.5625,27741.085,38173.345
2021-01-11,38170.4125,40117.0575,30265.99,35822.635
2021-01-18,35821.3125,37862.615,28966.5475,32291.01
2021-01-25,32293.7375,38619.21,29196.99,33138.715
2021-02-01,33128.5375,41002.87,32329.08,38868.57
2021-02-08,38877.0325,49702.79,38060.94,48660.45
2021-02-15,48652.725,58372.285,45805.93,57492.04
2021-02-22,57489.645,57576.72,43022.665,45238.64
2021-03-01,45247.535,52664.005,45046.505,50977.285
2021-03-08,50978.235,61768.795,49336.99,58997.37
2021-03-15,58976.94,60583.1975,53236.9875,57378.6275
2021-03-22,57389.9675,58433.005,50375.5025,55786.5525
2021-03-29,55787.1175,60070.765,54900.515,58210.9525
2021-04-05,58211.5525,61207.0475,55438.965,59975.28
2021-04-12,59980.3525,64898.555,51597.7125,56271.87
2021-04-19,56257.9175,57612.065,47020.9125,49123.22
2021-04-26,49123.6625,58538.5575,48817.06,56625.7675
2021-05-03,56617.0825,59546.02,52946.1525,58303.4025
2021-05-10,58324.56,59594.7475,43796.375,46456.4725
2021-05-17,46453.9,46644.6125,29876.05,34730.7875
2021-05-24,34737.5725,40889.7,33409.8625,35676.71
2021-05-31,35670.66,39484.6825,34196.4875,35803.195
2021-06-07,35802.6825,39394.805,31011.84,39026.525
2021-06-14,39026.76,41335.225,33351.2325,35592.295
2021-06-21,35593.3025,35749.11,28804.4,34690.9775
2021-06-28,34706.3675,36650.9475,32711.0625,35293.315
2021-07-05,35283.9775,35287.76,32106.4,34251.9575
2021-07-12,34265.07,34670.7275,31028.84,31784.15
2021-07-19,31789.0925,35446.245,29293.86,35428.2675
2021-07-26,35430.06,42604.7975,35263.77,39867.6725
2021-08-02,39872.8,45363.41,37316.515,43842.615
2021-08-09,43835.855,48178.0075,42820.3725,47022.2825
2021-08-16,47021.725,49814.37,43960.1375,49288.8975
2021-08-23,49291.6275,50518.98,46299.31,48800.0725
2021-08-30,48794.5675,51898.5725,46536.1875,51791.6375
2021-09-06,51791.6625,52935.0525,42613.7525,46038.8925
2021-09-13,46040.8925,48817.1475,43415.665,47249.3475
2021-09-20,47252.6175,47335.07,39585.5525,43194.81
2021-09-27,43171.7475,49252.37,40759.845,48235.595
2021-10-04,48232.78,56533.9,46914.845,54696.93
2021-10-11,54677.15,62901.595,53928.4425,61532.1675
2021-10-18,61527.5475,66993.3475,59521.5,60875.2975
2021-10-25,60862.755,63709.4975,57394.72,61357.63
2021-11-01,61359.0625,64307.2575,59484.82,63312.7675
2021-11-08,63313.0675,68997.75,62523.145,65502.47
2021-11-15,65502.4725,66354.41,55900.045,58666.18
2021-11-22,58669.22,59442.02,53317.32,57322.77
2021-11-29,57319.83,59239.19,41631.28,49467
2021-12-06,49472.65,51980.92,46783.75,50109.38
2021-12-13,50096.29,50220,45478.01,46696.22
2021-12-20,46682.33,51862.22,45581.22,50799.86
2021-12-27,50818.91,52103.63,45621.85,47317.13
2022-01-03,47300.8,47577.04,40528.45,41868.49
2022-01-10,41866.9,44443.4,39656.48,43171.39
2022-01-17,43174.04,43476.37,36346.07,38053.15
2022-01-24,38046.45,39732.91,35534.99,37923.56
2022-01-31,37913.28,42703.12,36267.05,42417.63
2022-02-07,42419.63,45866.71,41690.24,42073.76
2022-02-14,42074.56,44776.31,37994.3,38386.55
2022-02-21,38391.53,40308.98,34329.29,37711.29
2022-02-28,37712.31,45352.71,37461.68,38423
2022-03-07,38412.97,42592.68,37166.86,37790.82
2022-03-14,37785.75,42403.4,37572.55,41277.41
2022-03-21,41291.68,46948.42,40518.67,46856.67
2022-03-28,46852.57,48222.96,44245.62,46415.99
2022-04-04,46420.72,47190.3,41869.98,42155.88
2022-04-11,42161.99,42417.21,39219.44,39687.65
2022-04-18,39674.59,42974.36,38556.58,39465.69
2022-04-25,39460.95,40794.43,37403.24,38479.3
2022-05-02,38475.51,40032.42,33708.62,34027.56
2022-05-09,34035.88,34225.88,25365.62,31293.29
2022-05-16,31287.47,31288.29,28602.82,30264.11
2022-05-23,30260.6,30630.21,27939.02,29449.54
2022-05-30,29451.01,32384.54,29239.09,29899.4
2022-06-06,29902.42,31737.04,26517.39,26565.12
2022-06-13,26546.5,26849.82,17591.96,20552.98
2022-06-20,20550.63,21867.79,19631.43,21029.53
2022-06-27,21026.47,21517.6,18608.03,19292.67
2022-07-04,19294.22,22452.18,19033.98,20843.12
2022-07-11,20845.93,21662.48,18904.41,20793.29
2022-07-18,20790.02,24277.96,20761.84,22586.22
2022-07-25,22586.23,24675.03,20709.26,23315.95
2022-08-01,23304.94,23645.97,22402.03,23181.62
2022-08-08,23179.86,25045.61,22676.61,24314.02
2022-08-15,24315.41,25207.71,20765.5,21495.97
2022-08-22,21519.23,21902.85,19522.36,19550.11
2022-08-29,19553.98,20573.94,19549.2,20004.08
2022-09-05,20006.61,21861.83,18535.47,21839.13
2022-09-12,21834.42,22789.75,19322.35,19420.94
2022-09-19,19421.18,19910.47,18151.31,18808.52
2022-09-26,18807.41,20379.09,18478.88,19057.33
2022-10-03,19061.28,20470.34,18972.41,19445.94
2022-10-10,19442.08,19946.71,18164.48,19263.43
2022-10-17,19262.52,19699,18660.53,19570.93
2022-10-24,19570.86,21067.55,19166.9,20628.62
2022-10-31,20628.25,21472.01,20042.74,20914.74
2022-11-07,20910.54,21068.96,15597.07,16309.05
2022-11-14,16308.39,17145.88,15796.83,16255.15
2022-11-21,16255.1,16786.79,15479.42,16424.41
2022-11-28,16424.37,17263.68,16002.66,17113.75
2022-12-05,17113.5,17421.22,16706.03,17091.9
2022-12-12,17090.12,18365.03,16547.31,16745.81
2022-12-19,16746.1,17014.17,16273.92,16828.9
2022-12-26,16828.95,16962.26,16337.47,16613.48
2023-01-02,16613.59,17158.47,16550.33,17124.86
2023-01-09,17124.86,21322.68,17108.31,20884.18
2023-01-16,20884.77,23354.14,20404.71,22717.7
2023-01-23,22716.76,23955.61,22334.22,23750.97
2023-01-30,23750.61,24258.14,22508.73,22938.34
2023-02-06,22938.19,23444.46,21475.49,21787.12
2023-02-13,21787.3,25249.69,21375.49,24288.51
2023-02-20,24287.89,25254.28,22761.85,23558.98
2023-02-27,23559.82,23984.14,22001.13,22428.98
2023-03-06,22428.81,22595.64,19569,22242.23
2023-03-13,22237.22,28462.78,21953.91,28051.94
2023-03-20,28053.22,28910.47,26675.15,28001
2023-03-27,27999.24,29175.12,26535.12,28189.84
2023-04-03,28189.84,28782.17,27238.31,28336.98
2023-04-10,28337.3,31043.23,28182.66,30320.82
2023-04-17,30318.87,30470.98,27137.06,27592.89
2023-04-24,27592.83,30021.99,26978.53,29240.15
2023-05-01,29239.94,29840.44,27670.88,28462.89
2023-05-08,28465.68,28665.22,25827.1,26927.54
2023-05-15,26927.54,27673.28,26367.57,26752.43
2023-05-22,26751.74,28258.03,25876.46,28079.34
2023-05-29,28079.09,28457.93,26512.9,27121.86
2023-06-05,27122.87,27388.7,25361.81,25935.88
2023-06-12,25935.52,26783.01,24757.79,26338.83
2023-06-19,26338.8,31414.77,26263.89,30473
2023-06-26,30473,31267.44,29464.25,30617.86
2023-07-03,30617.87,31510.38,29763.37,30170.46
2023-07-10,30170.43,31827.16,29945.32,30245.6
2023-07-17,30244.83,30413.8,29535.92,30085.1
2023-07-24,30084.6,30095.89,28862.62,29279.33
2023-07-31,29279.19,30020.79,28624.48,29039.93
2023-08-07,29039.95,30198.21,28659.42,29280.68
2023-08-14,29281.26,29657.64,25635.74,26189.37
2023-08-21,26189.43,26796.9,25376.45,26090.67
2023-08-28,26090.67,28133.3,25329.84,25968.69
2023-09-04,25968.69,26431.34,25381.67,25831.23
2023-09-11,25832.7,26881,24919.64,26535.25
2023-09-18,26535.28,27490.11,26147.07,26250.5
2023-09-25,26249.8,28045.98,25989.83,27980.6
2023-10-02,27981.98,28584.79,27178.84,27933.75
2023-10-09,27933.75,27997.61,26537.83,27172.86
2023-10-16,27172.86,30347.33,27129.69,29998.27
2023-10-23,29998.09,35132.75,29902.22,34535.73
2023-10-30,34535.71,35951.02,34059.09,35042.56
2023-11-06,35043.15,37973.94,34543.83,37071.80915969
2023-11-13,37075.94,37972.75,34963.82,37377.58
2023-11-20,37377.21,38409.39,35658.37,37465.83
2023-11-27,37465.22,40203.62,36741.24,39988.27
2023-12-04,39988.18,44715.44,39986.31,43801.2
2023-12-11,43801.2,43807.06,40234.37,41343.51
2023-12-18,41343.98,44394.85,40514.87,43005.68
2023-12-25,43007.66,43819.77,41372.34,42284.71
2024-01-01,42284.71,45894.23,40879.06,43947.06
2024-01-08,43947.19,48965.41,41527.04,41732.68
2024-01-15,41733.73,43536.86,40266.02,41551.57
2024-01-22,41551.55,42825.71,38514.16,42031.95
2024-01-29,42031.74,43844.66,41813.82,42570.33
2024-02-05,42570.33,48592.66,42241.35,48312.66
2024-02-12,48312.59,52858.48,47730.53,52147.67
2024-02-19,52148.37,52985.33,50504.22,51726.87
2024-02-26,51726.32,63999.4,50909.73,63153.53
2024-03-04,63153.35,70086.7,59458.63,69090.75
2024-03-11,69090.75,73805.27,64504.09,68343.27
